Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Pins,Sim.Device,Height,Manufacturer_Name,Mouser Part Number,Mouser Price/Stock,Arrow Part Number,Arrow Price/Stock
C1,1,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,,,,,,,,
C10,1,4.7nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,,,,,,,,
C11,1,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,"Unpolarized capacitor, small symbol",,,,,,,,
"C12, C13, C14, C2, C6, C8",6,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,"[C12,C13,C14]Unpolarized capacitor, small symbol; [C2,C6,C8]Unpolarized capacitor",,,,,,,,
"C15, C16",2,47pF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,,,,,,,,
"C3, C5",2,470uF,CP_Elec_10x10,,,,smt,Polarized capacitor,,,,,,,,
"C4, C7",2,10uF,CP_Elec_6.3x5.8,,,,smt,Polarized capacitor,,,,,,,,
"D1, D2",2,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,,,smt,Light emitting diode,1=K 2=A,,,,,,,
"D10, D9",2,1N4001,D_DO-41_SOD81_P10.16mm_Horizontal,,,,tht,"50V 1A General Purpose Rectifier Diode, DO-41",1=K 2=A,D,,,,,,
"D11, D12, D7",3,P6KE24CA,D_SMB_Handsoldering,,,,smt,,,,,,,,,
"D13, D8",2,BYW95A,D_A-405_P7.62mm_Horizontal,,,,tht,,1=K 2=A,D,,,,,,
D14,1,Uz=4.3V,D_MiniMELF_Handsoldering,,,,smt,Zener diode,,,,,,,,
D15,1,Uz=2.7V,D_MiniMELF_Handsoldering,,,,smt,Zener diode,,,,,,,,
D20,1,PowerLED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,,,smt,Light emitting diode,1=K 2=A,,,,,,,
D21,1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,,,smt,RGB LED with integrated controller,,,,,,,,
